date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-20,1300000.0,5,4.0,3366,7800.0,2.5,0,2.0,3,2966,400,1937.0,1999,2617 W Barrett St,Seattle,WA 98199,USA
2014-06-08,530000.0,3,2.75,3400,7200.0,2.0,0,2.0,3,2470,930,2009.0,0,353 Bronson Way NE,Renton,WA 98056,USA
2014-06-18,574950.0,5,3.25,3160,10000.0,2.0,0,0.0,4,3160,0,1980.0,0,1010 Greenwood Blvd SW,Issaquah,WA 98027,USA
2014-06-30,765000.0,5,3.0,2870,5700.0,1.0,0,0.0,3,1950,920,1964.0,2000,4520 Sunnyside Ave N,Seattle,WA 98103,USA
2014-05-20,415000.0,3,2.25,1970,2377.0,2.0,0,0.0,3,1680,290,2008.0,0,4351 Jill Pl S,Seattle,WA 98108,USA
2014-05-08,559950.0,2,2.0,1870,,1.0,0,0.0,3,1870,0,2006.0,0,23733 NE Salal Pl,Redmond,WA 98053,USA
2014-06-11,262500.0,3,1.5,1160,8906.0,1.0,0,0.0,3,1160,0,1962.0,2003,7327 33rd Ave S,Seattle,WA 98118,USA
2014-06-16,277000.0,3,1.0,1100,8536.0,1.0,0,0.0,4,1100,0,1957.0,2001,9615 58th Ave S,Seattle,WA 98118,USA
2014-06-26,230000.0,3,1.0,1060,9946.0,1.0,0,0.0,4,1060,0,1956.0,0,17736 41st Ave S,SeaTac,WA 98188,USA
2014-07-01,485000.0,4,1.75,1430,4096.0,2.0,0,0.0,3,1430,0,1900.0,2005,216 20th Ave,Seattle,WA 98122,USA
2014-05-06,1800000.0,5,5.0,4490,10279.0,2.0,0,0.0,3,3930,560,2013.0,1923,1435 104th Ave SE,Bellevue,WA 98004,USA
2014-06-26,405125.0,4,2.75,4230,31747.0,2.0,0,0.0,4,4230,0,1985.0,0,14323-14347 155th Ave NE,Woodinville,WA 98072,USA
2014-06-19,265000.0,3,1.75,1840,7300.0,1.0,0,0.0,3,1840,0,1966.0,1963,2714 SW 323rd St,Federal Way,WA 98023,USA
2014-05-23,259585.5714,4,2.5,1960,9898.0,2.0,0,0.0,3,1960,0,2001.0,0,24330 130th Ave SE,Kent,WA 98030,USA
2014-05-12,620000.0,3,1.5,1620,6630.0,1.0,0,0.0,3,1280,340,1954.0,2005,2822 NW 90th Pl,Seattle,WA 98117,USA
2014-06-23,385000.0,3,3.25,1630,1677.0,3.0,0,0.0,3,1630,0,2007.0,0,353 N 105th St,Seattle,WA 98133,USA
2014-05-12,300000.0,2,1.75,1360,8100.0,1.0,0,0.0,3,860,500,1975.0,0,13730 2nd Ave NW,Seattle,WA 98177,USA
2014-06-11,386000.0,3,1.5,1270,1318.0,2.0,0,0.0,3,1080,190,2004.0,2003,3613 Gilman Ave W,Seattle,WA 98199,USA
2014-06-26,760000.0,3,2.5,1980,13964.0,1.0,0,0.0,5,1980,0,1959.0,0,4201-4213 Island Crest Way,Mercer Island,WA 98040,USA
2014-07-03,609000.0,3,1.75,1630,1526.0,3.0,0,0.0,3,1630,0,2014.0,0,3644 Phinney Ave N,Seattle,WA 98103,USA
2014-05-15,312500.0,2,1.0,880,6345.0,1.0,0,0.0,3,880,0,1919.0,2001,7558 19th Ave SW,Seattle,WA 98106,USA
2014-05-12,947500.0,3,2.75,2980,27144.0,1.5,1,2.0,5,2180,800,1917.0,0,Indian Trail,Burien,WA 98166,USA
2014-06-04,390000.0,3,2.25,1250,7500.0,1.0,0,0.0,5,1250,0,1942.0,0,10111 32nd Pl SW,Seattle,WA 98146,USA
2014-06-24,859000.0,4,2.25,3550,13900.0,1.0,0,0.0,3,1830,1720,2010.0,0,15831 SE 43rd Pl,Bellevue,WA 98006,USA
2014-05-02,650000.0,4,2.0,1820,5000.0,1.5,0,1.0,3,1640,180,1945.0,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA
2014-06-13,385000.0,3,2.25,1920,4833.0,1.0,0,0.0,4,1060,860,1921.0,0,10559 Evanston Ave N,Seattle,WA 98133,USA
2014-06-13,325000.0,3,2.5,2070,8337.0,2.0,0,0.0,3,2070,0,1997.0,0,26300-26398 124th Ave SE,Kent,WA 98030,USA
2014-06-13,556000.0,3,1.75,1640,7437.0,1.0,0,0.0,3,1090,550,1948.0,1994,7736 38th Ave SW,Seattle,WA 98126,USA
2014-06-03,409950.0,2,1.75,1370,5125.0,1.0,0,0.0,5,1370,0,1944.0,0,929 N 88th St,Seattle,WA 98103,USA
2014-06-11,355000.0,1,1.75,750,20339.0,1.0,0,0.0,4,550,200,1946.0,1989,14128 W Lake Kathleen Dr SE,Renton,WA 98059,USA
2014-05-27,477000.0,4,2.75,1720,6270.0,2.0,0,0.0,3,1720,0,1978.0,0,5149 S Graham St,Seattle,WA 98118,USA
2014-06-17,260000.0,3,1.5,1270,20700.0,1.0,0,0.0,2,1150,120,1948.0,0,3029 NE 178th St,Lake Forest Park,WA 98155,USA
2014-05-15,215000.0,3,1.0,1160,10384.0,1.0,0,0.0,4,1160,0,1969.0,0,26516 235th Ave SE,Maple Valley,WA 98038,USA
2014-05-15,280000.0,3,1.0,1330,20562.0,1.5,0,4.0,3,1330,0,1959.0,1989,13219 424th Ave SE,North Bend,WA 98045,USA
2014-07-01,540000.0,3,1.75,2050,9580.0,1.0,0,0.0,3,1400,650,1984.0,0,22607 NE 14th Dr,Sammamish,WA 98074,USA
2014-07-09,720500.0,4,2.5,3350,35298.0,2.0,0,0.0,4,3350,0,1985.0,0,22720 NE 46th St,Redmond,WA 98053,USA
2014-07-02,330000.0,4,2.5,2105,6093.0,2.0,0,0.0,3,2105,0,2003.0,0,27631-27699 145th Pl SE,Kent,WA 98042,USA
2014-07-07,295000.0,3,1.5,1640,7222.0,2.0,0,0.0,4,1640,0,1908.0,0,9047 4th Ave S,Seattle,WA 98108,USA
2014-05-12,499950.0,3,1.0,980,6380.0,1.0,0,0.0,3,760,220,1941.0,1994,1733 NE 88th St,Seattle,WA 98115,USA
2014-05-16,275000.0,3,2.5,1480,15639.0,2.0,0,0.0,3,1480,0,1987.0,2000,44402 SE 142nd Pl,North Bend,WA 98045,USA
2014-07-10,735000.0,3,2.5,2820,8159.0,2.0,0,0.0,3,2820,0,2004.0,2003,3243 NE Mulberry St,Issaquah,WA 98029,USA
2014-06-18,310000.0,4,2.5,2660,12672.0,1.0,0,0.0,4,1740,920,1960.0,2001,820 S 300th St,Federal Way,WA 98003,USA
2014-06-25,205000.0,3,1.0,1050,8498.0,1.0,0,0.0,3,1050,0,1958.0,2004,22123 103rd Pl SE,Kent,WA 98031,USA
2014-06-04,489000.0,3,1.5,1020,9072.0,1.0,0,0.0,3,920,100,1930.0,1997,9110 25th Ave NE,Seattle,WA 98115,USA
2014-06-12,448000.0,2,1.5,1630,3780.0,1.0,0,0.0,4,890,740,1940.0,2001,3441 NW 59th St,Seattle,WA 98107,USA
2014-06-19,549000.0,4,1.75,1290,3060.0,2.0,0,0.0,4,1290,0,1906.0,1990,742 N 70th St,Seattle,WA 98103,USA
2014-05-16,437500.0,3,2.5,2320,36847.0,2.0,0,2.0,3,2320,0,1992.0,0,12711 470th Ave SE,North Bend,WA 98045,USA
2014-05-30,465000.0,4,2.25,1820,20349.0,1.0,0,0.0,5,1340,480,1977.0,0,15812 182nd Ave NE,Woodinville,WA 98072,USA
2014-07-03,410000.0,4,2.5,1700,9000.0,1.0,0,0.0,5,1700,0,1972.0,0,14214 81st Ave NE,Kirkland,WA 98034,USA
2014-07-09,680000.0,3,2.0,1780,5720.0,1.0,0,0.0,5,980,800,1925.0,0,537 N 70th St,Seattle,WA 98103,USA
2014-06-27,167500.0,1,1.0,690,1950.0,1.0,0,0.0,3,690,0,1928.0,1954,7554 14th Ave NW,Seattle,WA 98117,USA
2014-05-07,519950.0,3,2.25,1170,,3.0,0,0.0,3,1170,0,2014.0,0,1749 NW 60th St,Seattle,WA 98107,USA
2014-05-19,215000.0,2,2.25,1610,2040.0,2.0,0,0.0,4,1610,0,1979.0,0,2906 Kennewick Pl NE,Renton,WA 98056,USA
2014-05-29,300000.0,2,1.0,820,3844.0,1.0,0,0.0,4,820,0,1916.0,0,723 N 105th St,Seattle,WA 98133,USA
2014-06-09,367300.0,4,2.75,2190,14937.0,2.0,0,0.0,3,2190,0,1993.0,0,4816 S 277th Pl,Auburn,WA 98001,USA
2014-06-11,214950.0,3,1.75,1570,4875.0,1.0,0,0.0,4,1310,260,1977.0,0,26712 186th Ave SE,Covington,WA 98042,USA
2014-05-09,490000.0,2,1.0,1840,3300.0,1.5,0,0.0,4,1130,710,1910.0,0,6255 4th Ave NW,Seattle,WA 98107,USA
2014-05-06,475000.0,6,3.0,3470,117612.0,1.5,0,0.0,3,3470,0,1924.0,2011,19007 80th Ave NE,Kenmore,WA 98028,USA
2014-05-12,635000.0,3,2.5,1570,1433.0,3.0,0,0.0,3,1570,0,2010.0,0,7815 Stroud Ave N,Seattle,WA 98103,USA
2014-07-10,350000.0,4,2.5,2800,9538.0,2.0,0,0.0,3,2800,0,1993.0,0,2110 S 373rd Ct,Federal Way,WA 98003,USA
2014-06-03,545000.0,3,1.75,1810,3000.0,1.5,0,0.0,4,1810,0,1903.0,0,4331 5th Ave NW,Seattle,WA 98107,USA
2014-06-24,198995.0,3,1.0,1410,8053.0,1.0,0,0.0,4,1410,0,1951.0,1999,10320 Dibble Ave NW,Seattle,WA 98177,USA
2014-06-16,963000.0,4,3.5,3280,6603.0,2.0,0,0.0,3,3280,0,2007.0,0,16030 SE 45th Pl,Bellevue,WA 98006,USA
2014-07-07,542500.0,3,2.5,2040,10086.0,2.0,0,0.0,3,2040,0,1987.0,2000,8511 170th Ct NE,Redmond,WA 98052,USA
2014-05-29,602500.0,4,2.5,2760,6850.0,2.0,0,0.0,3,2760,0,1999.0,0,7606 116th Ave SE,Newcastle,WA 98056,USA
2014-06-23,405000.0,2,1.0,860,2599.0,1.0,0,0.0,4,860,0,1901.0,0,6301-6399 17th Ave NW,Seattle,WA 98107,USA
2014-07-01,205000.0,3,1.75,1170,8239.0,1.0,0,0.0,3,1170,0,1981.0,2013,26118 189th Ct SE,Covington,WA 98042,USA
2014-06-18,267000.0,3,2.25,1584,2800.0,2.0,0,0.0,3,1584,0,2012.0,1912,1376 43rd St NE,Auburn,WA 98002,USA
2014-06-20,441000.0,3,2.75,1910,7280.0,1.0,0,0.0,3,1160,750,1979.0,2014,14413 88th Ave NE,Kirkland,WA 98034,USA
2014-06-27,295000.0,1,1.0,700,2500.0,1.0,0,0.0,4,700,0,1907.0,0,4108 25th Ave SW,Seattle,WA 98106,USA
2014-05-29,231000.0,4,2.0,1530,6375.0,2.0,0,0.0,3,1530,0,1942.0,1983,14904 133rd Ave SE,Renton,WA 98058,USA
2014-06-06,270000.0,4,2.25,1900,8600.0,1.0,0,0.0,4,1900,0,1975.0,0,32624 39th Pl SW,Federal Way,WA 98023,USA
2014-06-26,690000.0,5,3.5,2720,7598.0,2.0,0,0.0,3,1860,860,1993.0,0,8921 42nd Ave NE,Seattle,WA 98115,USA
2014-06-27,738000.0,3,3.0,2630,4896.0,2.0,0,0.0,3,2630,0,2006.0,0,10342 155th Ave NE,Redmond,WA 98052,USA
2014-06-09,378500.0,2,1.0,730,7528.0,1.0,0,0.0,3,730,0,1946.0,0,2048 NE 97th St,Seattle,WA 98115,USA
2014-06-20,925000.0,4,2.75,3730,8014.0,2.0,0,0.0,3,3730,0,2012.0,1912,625 212th Ave SE,Sammamish,WA 98074,USA
2014-06-25,299950.0,3,1.75,1790,7650.0,1.0,0,3.0,3,1790,0,1978.0,0,31317 41st Pl SW,Federal Way,WA 98023,USA
2014-05-14,458000.0,3,1.0,1660,7500.0,1.0,0,0.0,4,1060,600,1940.0,2001,2000 NE 113th St,Seattle,WA 98125,USA
2014-06-20,950000.0,3,3.25,3050,18892.0,1.0,1,4.0,4,1650,1400,1962.0,0,554-598 S 239th St,Des Moines,WA 98198,USA
2014-05-23,218000.0,3,1.0,960,9633.0,1.0,0,0.0,5,960,0,1982.0,0,506 Harmony Ln,Enumclaw,WA 98022,USA
2014-06-19,750000.0,3,3.5,3390,10078.0,2.0,0,0.0,3,3040,350,2012.0,1912,11619 SE 73rd Pl,Newcastle,WA 98059,USA
2014-05-29,452500.0,5,3.5,5960,13703.0,2.0,0,2.0,3,4770,1190,1984.0,0,510 175th Pl NE,Bellevue,WA 98008,USA
2014-06-26,429900.0,3,2.5,2370,5353.0,2.0,0,0.0,3,2370,0,2009.0,0,14522 271st Ct NE,Duvall,WA 98019,USA
2014-05-02,439950.0,3,2.5,1770,2875.0,2.0,0,,3,1770,0,1990.0,2009,4458 51st Ave SW,Seattle,WA 98116,USA
2014-05-13,1895000.0,5,2.25,3120,16672.0,2.0,0,0.0,4,3120,0,1969.0,0,9045 NE 40th Pl,Yarrow Point,WA 98004,USA
2014-07-08,1050000.0,4,2.75,2250,3433.0,1.5,0,0.0,3,1500,750,1927.0,2013,2052 Boyer Ave E,Seattle,WA 98112,USA
2014-06-23,525000.0,2,1.0,1080,3500.0,1.0,0,3.0,3,1080,0,1924.0,2011,5130 Palatine Ave N,Seattle,WA 98103,USA
2014-07-01,219950.0,3,1.5,1620,9310.0,1.0,0,0.0,4,1620,0,1967.0,0,17459 SE 262nd St,Covington,WA 98042,USA
2014-06-06,969990.0,4,2.5,4150,8436.0,2.0,0,0.0,3,4150,0,2014.0,0,3324 225th Ave SE,Sammamish,WA 98075,USA
2014-06-26,660000.0,3,1.0,1210,9622.0,1.0,0,1.0,3,1210,0,1955.0,2009,12016 SE 42nd St,Bellevue,WA 98006,USA
2014-05-08,589900.0,2,3.0,3160,66646.0,2.0,0,0.0,3,3160,0,1993.0,0,22819 NE 166th St,Woodinville,WA 98077,USA
2014-06-11,487028.0,2,1.5,1295,1093.0,2.0,0,0.0,3,1105,190,2007.0,0,2514 E Denny Way,Seattle,WA 98122,USA
2014-05-21,210000.0,3,1.0,1240,4842.0,1.0,0,0.0,4,1240,0,1916.0,0,9612-9618 Renton Ave S,Seattle,WA 98118,USA
2014-06-30,327500.0,3,2.25,2310,7200.0,2.0,0,0.0,3,2310,0,1990.0,2009,11103 SE 219th Pl,Kent,WA 98031,USA
2014-07-02,599950.0,4,3.5,2500,3080.0,2.0,0,0.0,3,1810,690,2008.0,0,7928 150th Ct NE,Redmond,WA 98052,USA
2014-07-03,588000.0,5,3.0,2190,4900.0,2.0,0,0.0,5,1490,700,1940.0,0,8314 Jones Ave NW,Seattle,WA 98117,USA
2014-05-22,359000.0,3,1.5,1360,885.0,3.0,0,0.0,3,1360,0,2008.0,0,709 N 94th St,Seattle,WA 98103,USA
2014-06-24,349950.0,4,2.5,2090,5289.0,2.0,0,0.0,3,2090,0,1989.0,0,19335 133rd Pl SE,Renton,WA 98058,USA
2014-05-08,753888.0,4,2.5,2660,5500.0,2.0,0,2.0,3,2660,0,2003.0,0,1669 28th Ave NE,,WA 98029,USA
2014-06-13,589000.0,3,2.0,2250,8800.0,1.0,0,0.0,4,1250,1000,1925.0,1968,3406 60th Ave SW,Seattle,WA 98116,USA
2014-06-18,620000.0,4,2.5,1910,7683.0,2.0,0,0.0,3,1910,0,1987.0,2000,4513 186th Ave SE,Issaquah,WA 98027,USA
2014-06-16,500000.0,4,2.75,2280,15347.0,1.0,0,0.0,5,2280,0,1960.0,0,9007 132nd Pl SE,Newcastle,WA 98059,USA
2014-06-19,269900.0,4,1.75,1530,8750.0,1.5,0,0.0,4,1530,0,1968.0,0,13805 SE Fairwood Blvd,Renton,WA 98058,USA
2014-05-13,525000.0,3,2.5,1580,1161.0,2.0,0,0.0,3,1010,570,2008.0,0,213 26th Ave E,Seattle,WA 98112,USA
2014-06-14,735000.0,4,2.75,2450,4187.0,2.0,0,2.0,3,2450,0,2010.0,0,1750 10th Ave NE,Issaquah,WA 98029,USA
2014-05-08,205000.0,2,1.0,720,5040.0,1.0,0,0.0,3,720,0,1955.0,2005,8448 Delridge Way SW,Seattle,WA 98106,USA
2014-07-03,250000.0,3,1.75,1770,8868.0,1.0,0,0.0,4,1770,0,1959.0,0,1201-1215 O St NE,Auburn,WA 98002,USA
2014-05-19,373000.0,3,2.5,1670,3565.0,2.0,0,0.0,3,1670,0,1999.0,0,18581 134th Pl NE,Woodinville,WA 98072,USA
2014-05-21,318989.0,4,2.25,2000,9000.0,1.0,0,0.0,4,2000,0,1978.0,2000,4231 SW 323rd St,Federal Way,WA 98023,USA
2014-06-18,415000.0,4,2.5,2020,5501.0,2.0,0,0.0,3,2020,0,2010.0,0,681 Ilwaco Ave NE,Renton,WA 98059,USA
2014-07-09,487000.0,4,2.5,2540,5001.0,2.0,0,0.0,3,2540,0,2005.0,0,6732 Mars Ave S,Seattle,WA 98108,USA
2014-05-27,255000.0,3,1.0,960,8100.0,1.0,0,0.0,3,960,0,1955.0,2005,20234 20th Ave NE,Shoreline,WA 98155,USA
2014-05-08,2110000.0,4,1.0,2100,9200.0,1.0,0,0.0,3,1050,1050,1959.0,1989,14070 Military Rd S,Tukwila,WA 98168,USA
2014-07-08,780000.0,2,2.5,2560,2500.0,2.0,0,0.0,5,1690,870,1901.0,0,419 25th Ave E,Seattle,WA 98112,USA
2014-06-04,392500.0,4,2.5,2150,7303.0,2.0,0,0.0,3,2150,0,2005.0,0,2709 NE 22nd St,Renton,WA 98056,USA
2014-06-19,945000.0,2,2.5,2540,7089.0,2.0,0,0.0,3,2540,0,2004.0,2003,3241 63rd Ave SW,Seattle,WA 98116,USA
2014-06-28,470000.0,3,1.5,1500,5000.0,1.5,0,0.0,4,1140,360,1927.0,0,6737-6741 13th Ave NW,Seattle,WA 98117,USA
2014-05-28,840000.0,4,2.5,3420,8405.0,2.0,0,0.0,3,3420,0,2000.0,0,20525 NE 26th St,Sammamish,WA 98074,USA
2014-06-06,570000.0,3,2.5,2400,6975.0,2.0,0,0.0,3,2400,0,1993.0,0,12032-12038 SE 76th St,Newcastle,WA 98056,USA
2014-05-23,383000.0,3,1.0,1800,5612.0,1.0,0,0.0,4,1200,600,1942.0,1982,8639 36th Ave SW,Seattle,WA 98126,USA
2014-05-16,250000.0,3,2.0,1900,6660.0,1.0,0,0.0,5,950,950,1966.0,0,27022 216th Ave SE,Maple Valley,WA 98038,USA
2014-05-20,315000.0,3,2.25,1400,31626.0,1.0,0,0.0,2,1140,260,1987.0,0,20515 SE 333rd Pl,Auburn,WA 98092,USA
2014-06-09,552000.0,2,2.5,1380,951.0,3.0,0,0.0,3,1380,0,2006.0,0,5010 Greenwood Ave N,Seattle,WA 98103,USA
2014-06-11,435000.0,3,2.5,1420,2581.0,3.0,0,0.0,3,1420,0,2004.0,2003,136 N 101st St,Seattle,WA 98133,USA
2014-06-22,0.0,2,2.25,1490,6770.0,1.5,0,0.0,3,1490,0,1926.0,2003,4921 28th Ave S,Seattle,WA 98108,USA
2014-07-01,431000.0,4,2.5,2300,6087.0,2.0,0,0.0,3,2300,0,2001.0,0,2309 Aberdeen Ave NE,Renton,WA 98056,USA
2014-06-03,440000.0,2,1.0,1230,6600.0,1.0,0,0.0,3,1130,100,1906.0,2014,3934 S Hudson St,Seattle,WA 98118,USA
2014-06-11,354000.0,3,1.0,940,10368.0,1.0,0,0.0,3,940,0,1965.0,1993,15550 NE 60th St,Redmond,WA 98052,USA
2014-05-27,569950.0,5,4.5,4850,40902.0,2.0,0,0.0,3,4850,0,2001.0,0,31617 6th Ave SW,Federal Way,WA 98023,USA
2014-07-02,675000.0,5,2.25,2900,10300.0,1.0,0,0.0,3,1450,1450,1985.0,0,14301-14399 SE 63rd St,Bellevue,WA 98006,USA
2014-05-06,362000.0,3,2.25,1640,14374.0,1.0,0,0.0,4,1140,500,1963.0,0,17253 Ambaum Blvd S,,WA 98148,USA
2014-06-25,913888.0,5,2.25,2370,15512.0,2.0,0,0.0,4,2370,0,1981.0,0,14207 SE 52nd Pl,Bellevue,WA 98006,USA
2014-06-27,530000.0,4,1.75,2860,48351.0,1.0,0,0.0,3,1710,1150,1978.0,0,18926 NE 183rd St,Woodinville,WA 98077,USA
2014-05-21,655000.0,4,3.5,2350,13402.0,2.0,0,3.0,3,1670,680,1994.0,0,11221 NE 106th Pl,Kirkland,WA 98033,USA
2014-06-02,439800.0,3,1.5,1120,6900.0,1.0,0,0.0,5,1120,0,1956.0,0,15524 SE 9th St,Bellevue,WA 98007,USA
2014-05-06,1870000.0,5,4.0,4510,15175.0,2.0,0,0.0,3,4510,0,1969.0,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA
2014-06-25,565000.0,2,1.75,1670,4008.0,1.0,0,0.0,3,1670,0,2005.0,0,2146 NE Nelson Ln,Issaquah,WA 98029,USA
2014-06-26,285000.0,2,1.0,1010,7200.0,1.0,0,0.0,3,1010,0,1975.0,0,18716 35th Ave NE,Lake Forest Park,WA 98155,USA
2014-05-14,802000.0,3,2.5,2580,13096.0,2.0,0,0.0,3,2580,0,1986.0,0,6133 147th Pl NE,Redmond,WA 98052,USA
2014-07-05,499000.0,3,2.5,1540,1326.0,3.0,0,0.0,3,1390,150,1995.0,0,2841 13th Ave W,Seattle,WA 98119,USA
2014-06-03,250000.0,3,2.25,1765,7652.0,2.0,0,0.0,3,1765,0,1996.0,0,33015 4th Pl S,Federal Way,WA 98003,USA
2014-07-03,605000.0,4,2.5,2800,10786.0,1.0,0,0.0,3,1420,1380,1970.0,2014,16674 SE 17th St,Bellevue,WA 98008,USA
2014-05-28,898000.0,5,1.5,2680,28014.0,1.0,0,0.0,4,1450,1230,1963.0,0,2615 109th Pl NE,Bellevue,WA 98004,USA
2014-05-28,900000.0,6,2.75,2300,24773.0,1.5,0,0.0,4,2300,0,1950.0,1985,2940 72nd Ave SE,Mercer Island,WA 98040,USA
2014-06-30,560000.0,3,2.25,2070,15002.0,1.5,0,0.0,3,2070,0,1955.0,2013,5121 NE 187th St,Lake Forest Park,WA 98155,USA
2014-06-12,678500.0,3,2.0,2460,6600.0,1.0,0,2.0,4,1370,1090,1952.0,0,9108 40th Ave SW,Seattle,WA 98136,USA
2014-06-18,545500.0,3,2.5,1560,9361.0,1.5,0,0.0,4,1360,200,1936.0,0,2930 S Edmunds St,Seattle,WA 98108,USA
2014-06-17,142500.0,4,0.75,1440,13300.0,1.0,0,0.0,3,1440,0,1948.0,1994,209 SW 142nd St,Burien,WA 98166,USA
2014-05-13,645000.0,3,2.5,1740,13750.0,2.0,0,0.0,4,1740,0,1975.0,0,1673 Rosemont Blvd,Bellevue,WA 98008,USA
2014-05-29,595000.0,3,2.0,1480,5000.0,1.0,0,0.0,4,750,730,1928.0,0,7728 11th Ave NW,Seattle,WA 98117,USA
2014-07-08,789900.0,3,2.5,3420,25150.0,1.0,0,0.0,4,1750,1670,1987.0,0,14102 SE 42nd St,Bellevue,WA 98006,USA
2014-05-19,461000.0,2,1.0,1060,7193.0,1.0,0,0.0,3,1060,0,1926.0,2003,11053 Greenwood Ave N,Seattle,WA 98133,USA
2014-06-17,170000.0,4,1.0,1920,13787.0,1.0,0,0.0,4,1220,700,1966.0,0,17104 Military Rd S,SeaTac,WA 98188,USA
2014-06-25,1005000.0,4,4.5,4225,284011.0,2.0,0,0.0,4,4225,0,1985.0,0,23711 NE 4th St,Sammamish,WA 98074,USA
2014-06-20,355000.0,4,2.5,2040,8265.0,2.0,0,0.0,3,2040,0,1996.0,0,11830 6th Pl SW,Seattle,WA 98146,USA
2014-05-16,445000.0,3,2.25,1990,7340.0,2.0,0,0.0,3,1990,0,1984.0,0,17849 149th Ave NE,Woodinville,WA 98072,USA
2014-05-06,387000.0,3,1.0,1230,9568.0,1.0,0,0.0,5,1230,0,1962.0,0,12116 SE 71st Pl,Newcastle,WA 98056,USA
2014-05-07,280000.0,3,2.5,1600,4271.0,2.0,0,0.0,3,1600,0,2000.0,0,5146 S 303rd Pl,Auburn,WA 98001,USA
2014-05-23,782000.0,4,2.5,2380,9614.0,2.0,0,0.0,4,2380,0,1991.0,0,16810 SE 47th Way,Bellevue,WA 98006,USA
2014-05-20,219950.0,3,1.5,1650,9936.0,1.0,0,0.0,3,1090,560,1967.0,2011,425 S 305th St,Federal Way,WA 98003,USA
2014-06-30,300000.0,2,1.0,960,8153.0,1.0,0,0.0,3,960,0,1947.0,2012,2610 NE 145th St,Shoreline,WA 98155,USA
2014-05-08,405000.0,2,1.0,1020,8155.0,1.0,0,0.0,4,1020,0,1948.0,0,13221 3rd Ave NW,Seattle,WA 98177,USA
2014-06-02,439900.0,2,2.0,1410,12282.0,1.5,0,0.0,5,1410,0,1909.0,1988,31103 SE 85th Pl,Preston,WA 98050,USA
2014-06-20,203000.0,3,1.0,1150,7156.0,1.0,0,0.0,4,1150,0,1953.0,1983,1226 S 130th Pl,Burien,WA 98168,USA
2014-06-10,695000.0,3,2.75,2540,4694.0,2.0,0,0.0,3,2540,0,2005.0,0,1306 236th Pl NE,Sammamish,WA 98074,USA
2014-06-16,465000.0,3,2.25,2670,7500.0,1.0,0,0.0,4,1640,1030,1966.0,0,15800-15898 15th Ave SW,Burien,WA 98166,USA
2014-06-18,343566.0,2,1.0,1100,4200.0,1.0,0,0.0,3,1100,0,1954.0,2005,8005 46th Ave SW,Seattle,WA 98136,USA
2014-05-31,615000.0,3,2.25,1760,1146.0,3.0,0,0.0,3,1760,0,2014.0,0,601 22nd Ave,Seattle,WA 98122,USA
2014-06-09,739000.0,4,2.5,2800,246114.0,2.0,0,0.0,3,2800,0,1999.0,0,6209 284th Way NE,Carnation,WA 98014,USA
